THCIC_ID,Accepts_Med,Per_MedMed,lon,lat,scaled_ppd,total_pop,weighted_median_income
975555,TRUE,0.397667549,-95.39907934,29.55547393,15.8057,260554,97619.90843
975970,FALSE,0.000932215,-97.66564412,30.44356565,10.0417,352917,85992.28589
975843,FALSE,0.007884005,NA,NA,16.1152,259894,96463.50031
975557,TRUE,0.330014767,-97.59498417,30.47055395,10.5702,255716,99862.377
976189,NA,NA,-98.19419843,26.1816143,NA,NA,NA
975724,FALSE,0.004997501,-96.77145223,33.07135925,5.8814,394609,119821.3664
975725,FALSE,0.001335708,-96.73686921,33.08540714,3.5591,400037,120015.1632
975957,FALSE,0,-96.82814129,33.0284965,8.9809,432992,104097.9792
976234,TRUE,0.099802549,NA,NA,13.3523,49661,48665.60971
975727,FALSE,0,-93.9789289,29.93489838,10.1518,126007,64655.95023
976050,TRUE,0.621173828,NA,NA,1.3478,125492,105125.0343
976247,TRUE,0.064156946,NA,NA,11.3574,126957,104721.8408
975561,TRUE,0.317901147,NA,NA,10.0689,26053,79450.81768
975729,FALSE,0.002439024,-97.31533787,27.88448384,13.3624,27920,77348.85222
976352,NA,NA,-96.79023476,33.26269783,NA,NA,NA
975562,TRUE,0.211258145,-96.83055513,33.2203493,4.4767,218837,144499.1728
975563,TRUE,0.508507194,-96.12518027,32.90339081,14.3127,28286,69955.52259
975564,TRUE,0.355580713,-96.77822863,32.53115414,9.5018,103451,81402.83126
975730,TRUE,0.10050396,NA,NA,8.8477,228154,107587.3587
975731,FALSE,0.000624064,NA,NA,4.4785,210002,103035.3584
975934,TRUE,0.332651128,-97.058105,28.040439,7.5472,18077,68787.64408
976277,FALSE,0,-95.74847678,29.54620505,4.4436,155106,102060.0035
975734,FALSE,0.002373418,NA,NA,29.1867,315923,103936.7418
975853,FALSE,0.00024667,-96.57074862,32.90815905,6.39,276212,86485.16345
975565,TRUE,0.331305369,-97.39044543,32.88095114,19.3488,197038,92941.73495
975735,FALSE,0.000475511,-100.5129721,31.42713942,13.0286,83282,69761.00617
975424,TRUE,0.410199557,-98.56518121,29.59960766,4.2738,272364,88592.8533
976150,TRUE,0.419659071,-98.34707153,29.48473099,14.5887,259804,64362.63667
975465,TRUE,0.511357936,-98.49093374,29.6163633,7.4114,267304,99268.89842
975464,TRUE,0.651196855,-98.6972781,29.46477645,14.9758,410684,86363.67638
975463,TRUE,0.495025952,-98.53580886,29.55907241,7.2786,378526,71963.52234
975736,FALSE,0.011947233,-98.448123,29.35181243,15.603,273832,49139.73063
975738,FALSE,0.016005488,-98.70165945,29.49083005,11.8184,370211,90787.8394
975742,TRUE,0.025075563,-98.42510758,29.64640855,11.8843,218894,103188.8521
